time,signal,forecast,true
1579903200.0,-1.0,-0.1718691635613206,-0.6800000000000139
1580079600.0,1.0,0.6624645914149273,-0.29000000000001247
1580083200.0,-1.0,-0.2226451774156602,0.24999999999997247
1580086800.0,0.0,-0.22500231139078264,0.1300000000000745
1580090400.0,1.0,0.3297356519197616,0.00999999999995449
1580094000.0,0.0,0.6656684064697815,0.46000000000001595
1580097600.0,0.0,0.27332693687943166,-0.0700000000000145
1580101200.0,-1.0,-0.08758526538916578,-0.260000000000038
1580104800.0,0.0,-0.3617706992337223,0.5300000000000304
1580108400.0,0.0,-0.24184751324990267,-0.7199999999999429
1580112000.0,1.0,0.36761344555147585,0.9599999999999609
1580115600.0,0.0,0.36414681815407485,-1.2299999999999534
1580119200.0,-1.0,-0.672708037064587,-0.9900000000000464
1580122800.0,1.0,0.3037115494002259,0.14999999999998348
1580126400.0,0.0,0.11121528691213195,0.41000000000002146
1580130000.0,0.0,0.05719023332720263,-0.8700000000000374
1580133600.0,0.0,0.5528084702792149,0.9000000000000119
1580137200.0,-1.0,-0.12142051407482266,-0.04999999999999449
1580140800.0,0.0,-0.41871204634278525,-0.17000000000000348
1580144400.0,1.0,0.3939926944661274,0.8000000000000229
1580148000.0,-1.0,-0.5978635640812949,0.0
1580151600.0,1.0,0.5758245736966012,-0.7300000000000084
1580155200.0,-1.0,-0.24348106550315868,-0.14999999999998348
1580158800.0,0.0,-0.6220886952149183,-0.07999999999996898
1580162400.0,0.0,-0.3209893289858168,-0.04999999999999449
1580166000.0,0.0,-0.38326937130441985,0.5600000000000049
1580169600.0,1.0,0.6494906056389118,-0.020000000000020002
1580173200.0,0.0,0.28837109635354985,0.42999999999993044
1580176800.0,0.0,0.5500122654399726,-0.05999999999994898
1580180400.0,-1.0,-0.31094475929397797,0.17999999999995797
1580184000.0,0.0,-0.7309082873716444,-0.020000000000020002
1580187600.0,0.0,-0.11752301327340983,0.12000000000000899
1580191200.0,1.0,0.175551793666399,0.36000000000002697
1580194800.0,-1.0,-0.47030248248052725,0.17000000000000348
1580198400.0,0.0,-0.6280441318923666,-1.5699999999999603
1580202000.0,1.0,0.4665088117436027,-0.6800000000000139
1580205600.0,-1.0,-0.2832538260669272,-0.060000000000060005
1580209200.0,1.0,0.39833999549628957,2.1600000000000508
1580212800.0,-1.0,-0.5975191959402428,0.9399999999999409
1580216400.0,1.0,0.02941132752201614,1.100000000000101
1580220000.0,-1.0,-0.7113989172273583,-0.640000000000085
1580223600.0,1.0,0.05656511589667784,1.4300000000000423
1580227200.0,0.0,0.012251627113072913,0.09999999999998899
1580230800.0,0.0,0.17699099965022824,-0.34000000000000696
1580234400.0,0.0,0.49266119417373877,-0.39999999999995595
1580238000.0,0.0,0.10720978261884939,0.00999999999995449
1580241600.0,-1.0,-0.032102835653019815,-0.43000000000004146
