,0
0,0.00051109586
1,-0.00096655154
2,-0.001020116
3,-0.001028404
4,-0.0010282928
5,0.0010286705
6,0.001028657
7,0.0010283414
8,-0.0010272432
9,0.0010024735
10,-0.0010286362
11,0.0010239194
12,-0.0010286709
13,-0.00102867
14,0.0009234876
15,-0.0010242691
16,0.0010259353
17,-0.00096310594
18,0.0010147269
19,0.00032548822
20,0.0007627123
21,-0.0010107092
22,-0.00069852814
23,0.0010286691
24,0.001028241
25,-0.00094051065
26,-0.0003337768
27,-0.0009983386
28,0.0010277828
29,0.0010048143
30,-0.00096952287
31,-0.0010285185
32,-0.0010266413
33,0.0010286705
34,-0.0010172516
35,-0.00092949293
36,0.0008266299
37,-0.0010286709
38,0.0010286709
39,0.00062194705
40,0.0010268276
41,-0.00066190865
42,0.0010286293
43,0.00089556025
44,0.001012997
45,-0.0010153155
46,0.0010284542
47,0.00061737356
48,-0.0009771216
49,8.745784e-05
50,-0.0010285123
51,-0.00085638394
52,-0.0009881827
53,0.0010273962
54,0.0010285503
55,0.0006076538
56,0.0010181887
57,0.0010220596
58,0.0006878786
59,-0.0010280092
60,-0.0007855719
61,-0.00092387106
62,0.0010194744
63,-0.0010270525
64,-0.0010285794
65,-0.0010286672
66,-0.0010280506
67,0.00061482366
68,0.0010286646
69,-0.0010286707
70,0.0007134032
71,0.0010248737
72,0.0010025562
73,-0.0010286476
74,0.0010224008
75,-0.0010286176
76,-0.0010270241
77,0.00068854296
78,0.0010286657
79,-0.0010273808
80,0.0010285404
81,0.0010286691
82,-0.001018883
83,-0.00013626445
84,-0.00040534936
85,-0.00019775933
86,-0.0009897465
87,-0.0010286612
88,0.0010284483
89,0.00097077084
90,0.0007510367
91,-0.00092133775
92,9.394302e-05
93,0.0010067825
94,-0.0010200883
95,-0.00014860896
96,0.00073553785
97,-0.00076945603
98,-0.0009707463
99,-0.0009398605
100,0.0010276041
101,-0.00036974004
102,0.0010122191
103,-0.0010284137
104,-0.0010259093
105,-0.00053913187
106,-0.0010165931
107,-0.0010242691
108,-0.0007438025
109,-0.00095856807
110,0.00094633515
111,-0.0010286702
112,0.0010262211
113,0.0009882236
114,0.0010252541
115,-0.0010268404
116,0.00019199552
117,0.0010285985
118,-0.0010253198
119,-0.0010286679
120,0.0006015223
121,-0.0010265834
122,0.0010066676
123,-0.0010286651
124,0.0010268574
125,-0.0009879326
126,0.0010286705
127,-0.0007554658
128,-0.0009950368
129,-0.0010286707
130,-0.0010271703
131,0.0010028731
132,-0.0010254523
133,0.0010284843
134,-0.0010269264
135,-0.0010286705
136,0.0010121402
137,0.0006968419
138,0.0010194466
139,-0.0010286376
140,-0.0010134446
141,-0.0010205104
142,-0.0009859862
143,-0.0010286587
144,-0.0005871159
145,-0.0010282408
146,-0.00016433137
147,0.0010077134
148,-0.0010286171
149,0.00094335194
150,-0.00048684928
151,0.00055155554
152,0.0010286669
153,-0.0010285428
154,-0.0005512793
155,-0.0010257182
156,-0.0005048432
157,-0.0009944242
158,-0.0010191898
159,-0.0010155535
160,-0.0010280511
161,0.000342149
162,0.0010178434
163,-0.00096131157
164,0.0010269422
165,0.0004399861
166,-0.0010172755
167,-0.0008914339
168,-4.9033908e-05
169,-0.00041551708
170,-0.0009304105
171,0.0010248439
172,0.00039775745
173,0.0010156848
174,0.0010218264
175,-0.0004150652
176,-0.0010196129
177,0.0010286705
178,0.00021880097
179,0.0010286631
180,-0.001028671
181,-0.001028671
182,4.5732545e-06
183,0.0010274763
184,0.0010284251
185,-0.0010285305
186,-0.0010262248
187,0.0009900398
188,-0.0009980886
189,0.0010286705
190,0.0010286561
191,0.00092111074
192,0.0010277983
193,0.0010216755
194,-0.0010285925
195,0.0010175455
196,-0.0004719131
197,0.0008669384
198,-0.00041526207
199,-0.0010247702
200,-0.0010285787
201,0.00050652097
202,0.0010286444
203,-0.0010245139
204,0.0010286709
205,0.0010286707
206,-0.00096891954
207,0.0009420145
208,0.001028671
209,0.0010276472
210,0.0006719936
211,0.0010265077
212,0.0010187195
213,-0.0010286709
214,-0.00064184214
215,0.0010286691
216,-0.0009548655
217,0.0010286391
218,0.0010042363
219,-0.00082491676
220,-0.0010286635
221,0.000954155
222,-0.0010286709
223,0.0007563677
224,0.0010145471
225,0.0010283507
226,0.00039812416
227,0.000994781
228,0.0010285582
229,0.0006467283
230,0.001027666
231,0.000988252
232,-0.0009560309
233,0.0010286304
234,-0.0010286662
235,-0.00025993967
236,-0.0010285934
237,0.0010267871
238,0.00037992862
239,0.0009919604
240,-0.0005027498
241,0.0007541452
242,0.0010263958
243,-0.0010244397
244,0.0009917205
245,-0.00020761759
246,-0.000945042
247,-0.00086370483
248,0.0010110121
249,0.0010285086
250,0.0008686684
251,-0.0010269163
252,-0.0009815951
253,-0.001001905
254,0.001028671
255,0.0008293248
256,-0.0007178534
257,0.0003075724
258,0.0010275237
259,0.0010285778
260,-0.0008540696
261,-0.0010262923
262,-0.00095778273
263,-0.0010237054
264,-0.0009824336
265,6.551796e-05
266,-0.001024266
267,0.0010286274
268,0.0009929506
269,0.0008913693
270,-0.0009935207
271,-0.0010286707
272,-0.001026859
273,1.5775972e-06
274,0.000987823
275,-0.0010148785
276,-0.0009915855
277,-0.0010286707
278,0.0010272091
279,0.0005538802
280,0.001009159
281,0.0007296183
282,-0.00036678766
283,-0.0010159967
284,-0.001028659
285,0.000964263
286,0.00102867
287,0.0010223383
288,-0.0010260777
289,-0.0010286595
290,-0.001028671
291,0.001028671
292,0.0009677578
