Valuta,d,p,q,distribution,multiplier
EURUSD,1,1,4,sstd,1000
GBPUSD,1,1,0,sstd,1000
EURGBP,1,0,4,sstd,1000
EURJPY,1,0,4,sstd,1
EURCAD,1,1,3,sstd,1000
USDJPY,1,0,4,sstd,1
AUDCAD,1,2,4,sstd,1000
AUDJPY,1,0,4,sstd,1
AUDUSD,1,0,3,sstd,1000
CADJPY,1,0,1,sstd,1
EURNZD,1,1,4,sstd,1000
GBPAUD,1,4,1,0,1000
GBPCAD,1,4,1,sstd,1000
GBPJPY,1,1,0,sstd,1
NZDUSD,1,2,2,snorm,1000
USDCAD,1,0,3,sstd,1000
USDCHF,1,0,4,0,1000
USDNOK,1,4,0,0,100
EURAUD,1,4,1,sstd,1000
EURCHF,1,4,2,sstd,1000
EURNOK,1,3,1,sstd,100
